site,species,plot,total,LL,UR
741,Achyrachaena mollis,1,,,
741,Achyrachaena mollis,2,4,,1
741,Achyrachaena mollis,3,1,,1
741,Achyrachaena mollis,4,,,
741,Achyrachaena mollis,5,,,2
742,Achyrachaena mollis,1,8,,1
742,Achyrachaena mollis,2,4,5,5
742,Achyrachaena mollis,3,4,2,10
742,Achyrachaena mollis,4,8,,
742,Achyrachaena mollis,5,,,
757,Achyrachaena mollis,1,,,
757,Achyrachaena mollis,2,,,
757,Achyrachaena mollis,3,1,,
757,Achyrachaena mollis,4,8,10,30
757,Achyrachaena mollis,5,1,1,
741,Agoseris heterophylla,1,,,
741,Agoseris heterophylla,2,1,1,
741,Agoseris heterophylla,3,1,,1
741,Agoseris heterophylla,4,2,,
741,Agoseris heterophylla,5,4,,
742,Agoseris heterophylla,1,,,
742,Agoseris heterophylla,2,,,
742,Agoseris heterophylla,3,,,
742,Agoseris heterophylla,4,4,,5
742,Agoseris heterophylla,5,8,10,20
743,Agoseris heterophylla,1,16,1,5
743,Agoseris heterophylla,2,8,2,2
743,Agoseris heterophylla,3,1,,1
743,Agoseris heterophylla,4,1,,1
743,Agoseris heterophylla,5,1,1,
745,Agoseris heterophylla,1,1,,4
745,Agoseris heterophylla,2,1,,
745,Agoseris heterophylla,3,,,
745,Agoseris heterophylla,4,1,1,
745,Agoseris heterophylla,5,,,
751,Agoseris heterophylla,1,,,
751,Agoseris heterophylla,2,,,
751,Agoseris heterophylla,3,,,
751,Agoseris heterophylla,4,,,
751,Agoseris heterophylla,5,1,1,
752,Agoseris heterophylla,1,1,,
752,Agoseris heterophylla,2,1,,
752,Agoseris heterophylla,3,,,
752,Agoseris heterophylla,4,,,
752,Agoseris heterophylla,5,,,
755,Agoseris heterophylla,1,2,,
755,Agoseris heterophylla,2,1,,3
755,Agoseris heterophylla,3,1,,
755,Agoseris heterophylla,4,,,
755,Agoseris heterophylla,5,1,,1
742,Amsinckia menziesii,1,,,
742,Amsinckia menziesii,2,,,
742,Amsinckia menziesii,3,,,
742,Amsinckia menziesii,4,1,,1
742,Amsinckia menziesii,5,1,1,
746,Amsinckia menziesii,1,1,1,
746,Amsinckia menziesii,2,,,
746,Amsinckia menziesii,3,,,
746,Amsinckia menziesii,4,,,
746,Amsinckia menziesii,5,,,
762,Amsinckia menziesii,1,1,1,
762,Amsinckia menziesii,2,1,,1
762,Amsinckia menziesii,3,1,,
762,Amsinckia menziesii,4,4,,20
762,Amsinckia menziesii,5,1,,1
762,Anagallis arvensis,1,1,,
762,Anagallis arvensis,2,,,
762,Anagallis arvensis,3,1,,1
762,Anagallis arvensis,4,,,
762,Anagallis arvensis,5,1,,1
743,Stylocline filaginea,1,1,,
747,Stylocline filaginea,1,,,
747,Stylocline filaginea,2,1,2,
747,Stylocline filaginea,3,1,,
747,Stylocline filaginea,4,1,,
747,Stylocline filaginea,5,,,
751,Stylocline filaginea,1,1,,1
751,Stylocline filaginea,2,4,,1
751,Stylocline filaginea,3,,,
751,Stylocline filaginea,4,,,
751,Stylocline filaginea,5,,,
743,Stylocline filaginea,2,1,,
743,Stylocline filaginea,3,,,
743,Stylocline filaginea,4,1,,
743,Stylocline filaginea,5,1,1,1
742,Astragalus gambelianus,5,1,,
743,Astragalus gambelianus,1,1,,1
743,Astragalus gambelianus,2,,,
743,Astragalus gambelianus,3,,,
743,Astragalus gambelianus,4,,,
743,Astragalus gambelianus,5,1,,
745,Astragalus gambelianus,1,,,
745,Astragalus gambelianus,2,1,,
745,Astragalus gambelianus,3,,,
745,Astragalus gambelianus,4,1,,
745,Astragalus gambelianus,5,,,
744,Astragalus gambelianus,1,1,,
744,Astragalus gambelianus,2,,,
744,Astragalus gambelianus,3,,,
744,Astragalus gambelianus,4,,,
