date,site,plot,r1,r2,r3,r4,r5,r6,r7,r8,r9
2018-01-23,CHIPSAHOI,501,13.1,29.2,29.2,23.2,,,,,
2018-01-23,CHIPSAHOI,502,27.6,31.2,33.1,22.4,,,,,
2018-01-23,CHIPSAHOI,503,35.4,33.8,42.3,21.7,,,,,
2018-01-23,CHIPSAHOI,504,34.1,33.8,32.5,43.9,,,,,
2018-01-23,CHIPSAHOI,505,39.4,18.1,38.7,33.5,,,,,
2018-01-23,CHIPSAHOI,506,21.4,30.2,14.3,44.2,,,,,
2018-01-23,CHIPSAHOI,507,29.2,32.5,36.1,32.8,,,,,
2018-01-23,CHIPSAHOI,508,25.6,30.5,25.9,37.4,,,,,
2018-01-23,CHIPSAHOI,509,17.1,33.1,32.8,25.9,,,,,
2018-01-23,CHIPSAHOI,531,31.5,32.5,18.1,23,42.6,33.5,25.6,24,38
2018-01-23,CHIPSAHOI,541,27.6,25,23.3,19.4,31.5,23.3,36.7,27.9,
2018-01-23,CHIPSAHOI,574,41,25.6,41.6,14.3,38.7,29.5,28.9,32.2,
2018-01-23,CHIPSAHOI,588,36.7,25.9,43.3,35.4,39,31.5,35.4,33.1,
2018-01-23,CHIPSAHOI,637,39,33.8,43.6,30.5,21,27,38,24,
2018-01-23,CHIPSAHOI,643,18.1,27.6,45.9,42.9,,,,,
2018-01-23,CHIPSAHOI,644,18.4,16.5,42.6,38.4,,,,,
2018-01-23,CHIPSAHOI,645,25.6,18.1,31.2,41,,,,,
2018-01-23,CHIPSAHOI,646,25.3,38.4,30.2,44.6,,,,,
2018-01-23,CHIPSAHOI,647,40.6,37.4,29.9,25.6,,,,,
2018-01-23,CHIPSAHOI,648,23,28.2,37.7,22.4,47.5,41.3,29.2,40.6,
2018-01-23,CHIPSAHOI,649,26.3,16.8,43.9,40,,,,,
2018-01-23,CHIPSAHOI,650,34.4,39,32.8,45.5,,,,,
2018-01-23,CHIPSAHOI,662,29.9,39.3,38.4,30.8,30.2,40.6,29.9,34.4,
2018-01-23,CHIPSAHOI,709,41.3,44.9,44.9,46.9,35.1,30.8,47.5,43.3,
2018-01-23,CHIPSAHOI,722,56,38.4,50.1,45.9,44.9,54.4,,,
2018-01-23,CHIPSAHOI,723,34.1,51.1,51.8,37.7,,,,,
2018-01-23,CHIPSAHOI,724,32.5,25,48.2,32.8,32.2,33.1,23.3,43.6,
2018-01-23,CHIPSAHOI,725,46.5,31.8,38,33.5,49.8,,,,
2018-01-23,CHIPSAHOI,726,51.4,27.6,37.1,42,35.4,,,,
2018-01-23,CHIPSAHOI,728,42.6,27.6,30.5,24,,,,,
2018-01-23,CHIPSAHOI,729,32.8,18.1,36.4,30.8,,,,,
2018-01-23,CHIPSAHOI,730,29.2,30.5,27.9,30.8,,,,,
2018-01-24,CHIPSAHOI,CHEWY1,53.1,53.7,51.1,51.8,,,,,
2018-01-24,CHIPSAHOI,CHEWY2,33.8,37.1,41.3,40.3,,,,,
2018-01-24,CHIPSAHOI,CHEWY3,48.8,42,40.6,43.9,,,,,
2018-01-24,CHIPSAHOI,CHEWY4,25.9,37.4,34.4,39.3,,,,,
2018-01-24,CHIPSAHOI,CHEWY5,21.4,25.3,40.3,32.8,,,,,
2018-01-24,CHIPSAHOI,CHEWY6,25.3,32.8,23.3,36.1,,,,,
2018-01-24,CHIPSAHOI,CHEWY7,19.7,16.8,16.2,22,,,,,
2018-01-24,CHIPSAHOI,CHEWY8,14.3,26.3,17.5,14.9,,,,,
