date_collected,site,plot,sample_id,wet_weight,dry_weight,tin_weight,notes
1/23/18,749,749,749,60.34,50.61,,
1/23/18,749,749,49,67.68,56.64,,
1/23/18,748,748,748,68.6,61.51,,
1/23/18,748,748,48,68.75,61.42,,
1/23/18,747,747,747,63.64,55.05,2.1,
1/23/18,747,747,47,69.22,60.17,2.13,
1/23/18,741,741,741,54.42,43.07,,
1/23/18,741,741,41,59.36,47.49,2.1,
1/23/18,744,744,744,56.04,47.71,2.14,
1/23/18,744,744,44,52.85,44.22,2.13,
1/23/18,740,740,740,55.41,46.56,2.15,
1/23/18,740,740,40,50.93,42.99,,
1/23/18,759,759,759,39.39,31.59,2.18,
1/23/18,759,759,59,44.88,35.74,2.14,
1/23/18,745,745,745,48.54,41.15,2.14,
1/23/18,745,745,45,49.36,41.37,2.14,
1/23/18,742,742,742,55.92,47.69,2.17,
1/23/18,742,742,42,,,,no sample
1/23/18,746,746,746,55.97,46.77,2.13,
1/23/18,746,746,46,55.33,47.19,2.13,
1/23/18,755,755,755,50.82,41.83,2.16,
1/23/18,755,755,55,43.38,35.8,2.11,
1/23/18,743,743,743,46.29,38.65,2.11,
1/23/18,743,743,43,48.6,41.11,,
1/23/18,750,750,750,47.73,41.22,2.11,
1/23/18,750,750,50,48.92,41.09,,
1/23/18,753,753,753,60.23,52.26,2.07,
1/23/18,753,753,53,55.18,47.76,2.08,
1/23/18,762,762,762,55.14,49.62,2.06,
1/23/18,762,762,62,58.04,52.67,2.1,
1/23/18,763,763,763,51.85,46.14,2.11,
1/23/18,763,763,63,58.79,52.45,2.11,
1/23/18,761,761,761,56.32,46.34,2.1,
1/23/18,761,761,61,43.79,35.89,2.12,
1/23/18,760,760,760,56.9,49.46,2.08,
1/23/18,760,760,60,49.16,42.88,2.13,
1/23/18,752,752,752,48.5,39.76,2.13,
1/23/18,752,752,52,50.3,41.27,2.14,
1/23/18,754,754,754,62.61,52.49,2.14,
1/23/18,754,754,54,51.38,43.68,2.12,
1/23/18,757,757,757,51.47,44.21,2.14,
1/23/18,757,757,57,51.73,44.83,2.11,
1/23/18,758,758,758,43.25,34.69,2.12,
1/23/18,758,758,58,50.23,40.72,2.12,
1/23/18,756,756,756,44.45,38.08,2.13,
1/23/18,756,756,56,46.14,39.8,2.13,
1/23/18,751,751,751,51.68,43.84,2.13,
1/23/18,751,751,51,46.36,39.1,2.1,
1/23/18,CHIPSAHOI,CHEWY1,1,56.53,44.19,2.17,
1/23/18,CHIPSAHOI,CHEWY1,1A,44.39,35.35,2.16,
1/23/18,CHIPSAHOI,CHEWY2,2,52.81,40.88,2.11,
1/23/18,CHIPSAHOI,CHEWY2,2A,43.56,34.07,2.17,
1/23/18,CHIPSAHOI,CHEWY3,3,41.81,32.21,2.11,
1/23/18,CHIPSAHOI,CHEWY3,3A,47.28,36.17,2.1,
1/23/18,CHIPSAHOI,CHEWY4,4,46.86,36.32,2.1,
1/23/18,CHIPSAHOI,CHEWY4,4A,48.28,37.47,2.15,
1/23/18,CHIPSAHOI,CHEWY5,5,43.36,32.77,2.12,
1/23/18,CHIPSAHOI,CHEWY5,5A,39.15,28.99,2.12,
1/23/18,CHIPSAHOI,CHEWY6,6,46.59,35.34,2.12,
1/23/18,CHIPSAHOI,CHEWY6,6A,43.82,33.42,2.1,
1/23/18,CHIPSAHOI,CHEWY7,7,40.06,31.04,2.17,
1/23/18,CHIPSAHOI,CHEWY7,7A,38.87,30.16,2.13,
1/23/18,CHIPSAHOI,CHEWY8,8,43.19,33.39,2.14,
1/23/18,CHIPSAHOI,CHEWY8,8A,35.59,27.73,2.16,
