species,site,plot,total,LL,UR
Hemizonia congesta,740,1,20,12,5
Hemizonia congesta,740,2,8,10,10
Hemizonia congesta,740,3,8,20,0
Hemizonia congesta,740,4,16,5,20
Hemizonia congesta,740,5,25,20,20
Lactuca serriola,740,1,8,12,20
Lactuca serriola,740,2,1,5,0
Lactuca serriola,740,3,1,0,0
Lactuca serriola,740,4,1,0,10
Lactuca serriola,740,5,1,1,0
Festuca perennis,740,1,4,0,5
Festuca perennis,740,2,75,25,40
Festuca perennis,740,3,75,75,70
Festuca perennis,740,4,40,60,20
Festuca perennis,740,5,1,1,0
Poa secunda,740,1,0,0,0
Poa secunda,740,2,0,0,0
Poa secunda,740,3,0,0,0
Poa secunda,740,4,0,0,0
Poa secunda,740,5,1,0,1
Hemizonia congesta,741,1,12,10,15
Hemizonia congesta,741,2,8,10,1
Hemizonia congesta,741,3,8,1,5
Hemizonia congesta,741,4,4,2,0
Hemizonia congesta,741,5,1,0,1
Lactuca serriola,741,1,0,0,0
Lactuca serriola,741,2,1,0,1
Lactuca serriola,741,3,1,1,0
Lactuca serriola,741,4,0,0,0
Lactuca serriola,741,5,0,0,0
Acmispon wrangelianus,741,1,1,1,0
Acmispon wrangelianus,741,2,1,5,0
Acmispon wrangelianus,741,3,1,0,0
Acmispon wrangelianus,741,4,0,0,0
Acmispon wrangelianus,741,5,0,0,0
Navarretia atractyloides,741,1,25,50,5
Navarretia atractyloides,741,2,12,20,2
Navarretia atractyloides,741,3,1,0,0
Navarretia atractyloides,741,4,0,0,0
Navarretia atractyloides,741,5,0,0,0
Stephanomeria cichoriacea,741,1,0,0,0
Stephanomeria cichoriacea,741,2,0,0,0
Stephanomeria cichoriacea,741,3,1,2,0
Stephanomeria cichoriacea,741,4,0,0,0
Stephanomeria cichoriacea,741,5,0,0,0
Lactuca serriola,742,1,0,0,0
Lactuca serriola,742,2,0,0,0
Lactuca serriola,742,3,1,0,0
Lactuca serriola,742,4,1,0,1
Lactuca serriola,742,5,1,0,1
Micropus californicus,742,1,1,0,0
Micropus californicus,742,2,0,0,0
Micropus californicus,742,3,0,0,0
Micropus californicus,742,4,0,0,0
Micropus californicus,742,5,0,0,0
Navarretia atractyloides,742,1,1,1,0
Navarretia atractyloides,742,2,0,0,0
Navarretia atractyloides,742,3,0,0,0
Navarretia atractyloides,742,4,0,0,0
Navarretia atractyloides,742,5,0,0,0
Hemizonia congesta,743,1,4,0,1
Hemizonia congesta,743,2,0,0,0
Hemizonia congesta,743,3,0,0,0
Hemizonia congesta,743,4,0,0,0
Hemizonia congesta,743,5,0,0,0
Acmispon wrangelianus,743,1,0,0,0
Acmispon wrangelianus,743,2,1,0,0
Acmispon wrangelianus,743,3,0,0,0
Acmispon wrangelianus,743,4,0,0,0
Acmispon wrangelianus,743,5,0,0,0
Navarretia atractyloides,743,1,20,0,2
Navarretia atractyloides,743,2,20,10,5
Navarretia atractyloides,743,3,1,1,0
Navarretia atractyloides,743,4,1,0,1
Navarretia atractyloides,743,5,1,0,1
Acmispon wrangelianus,744,1,0,0,0
Acmispon wrangelianus,744,2,1,0,1
Acmispon wrangelianus,744,3,0,0,0
Acmispon wrangelianus,744,4,0,0,0
Acmispon wrangelianus,744,5,0,0,0
Navarretia atractyloides,744,1,1,0,0
Navarretia atractyloides,744,2,0,0,0
Navarretia atractyloides,744,3,0,0,0
Navarretia atractyloides,744,4,0,0,0
Navarretia atractyloides,744,5,0,0,0
Calystegia collina,745,1,0,0,0
Calystegia collina,745,2,0,0,0
Calystegia collina,745,3,1,0,0
Calystegia collina,745,4,1,0,0
Calystegia collina,745,5,0,0,0
Chorizanthe palmeri,745,1,0,0,0
Chorizanthe palmeri,745,2,0,0,0
Chorizanthe palmeri,745,3,1,0,0
Chorizanthe palmeri,745,4,0,0,0
Chorizanthe palmeri,745,5,2,1,0
Hemizonia congesta,745,1,4,0,0
Hemizonia congesta,745,2,4,0,5
Hemizonia congesta,745,3,0,0,0
Hemizonia congesta,745,4,0,0,0
Hemizonia congesta,745,5,0,0,0
Navarretia atractyloides,745,1,0,0,0
Navarretia atractyloides,745,2,12,5,1
Navarretia atractyloides,745,3,4,0,5
Navarretia atractyloides,745,4,2,0,8
Navarretia atractyloides,745,5,1,1,1
Hemizonia congesta,746,1,2,5,0
Hemizonia congesta,746,2,0,0,0
Hemizonia congesta,746,3,1,1,0
Hemizonia congesta,746,4,0,0,0
Hemizonia congesta,746,5,0,0,0
Lactuca serriola,746,1,0,0,0
Lactuca serriola,746,2,0,0,0
Lactuca serriola,746,3,1,0,0
Lactuca serriola,746,4,0,0,0
Lactuca serriola,746,5,0,0,0
Microseris douglasii,746,1,1,0,0
Microseris douglasii,746,2,0,0,0
Microseris douglasii,746,3,4,1,20
Microseris douglasii,746,4,0,0,0
Microseris douglasii,746,5,0,0,0
Triteleia ixioides,746,1,2,0,0
Triteleia ixioides,746,2,0,0,0
Triteleia ixioides,746,3,0,0,0
Triteleia ixioides,746,4,0,0,0
Triteleia ixioides,746,5,2,10,0
Uropappus lindleyi,746,1,0,0,0
Uropappus lindleyi,746,2,0,0,0
Uropappus lindleyi,746,3,0,0,0
Uropappus lindleyi,746,4,1,0,0
Uropappus lindleyi,746,5,0,0,0
Calystegia collina,747,1,0,0,0
Calystegia collina,747,2,8,0,10
Calystegia collina,747,3,4,0,2
Calystegia collina,747,4,1,2,0
Calystegia collina,747,5,0,0,0
Chorizanthe palmeri,747,1,0,0,0
Chorizanthe palmeri,747,2,20,25,25
Chorizanthe palmeri,747,3,8,10,0
Chorizanthe palmeri,747,4,0,0,0
Chorizanthe palmeri,747,5,4,0,2
Salvia columbariae,747,1,0,0,0
Salvia columbariae,747,2,0,0,0
Salvia columbariae,747,3,0,0,0
Salvia columbariae,747,4,1,0,1
Salvia columbariae,747,5,0,0,0
Croton setiger,749,1,1,0,0
Croton setiger,749,2,0,0,0
Croton setiger,749,3,1,0,0
Croton setiger,749,4,0,0,0
Croton setiger,749,5,0,0,0
Lactuca serriola,749,1,0,0,0
Lactuca serriola,749,2,0,0,0
Lactuca serriola,749,3,0,0,0
Lactuca serriola,749,4,0,0,0
Lactuca serriola,749,5,8,0,0
Medicago polymorpha,749,1,0,0,0
Medicago polymorpha,749,2,4,0,0
Medicago polymorpha,749,3,0,0,0
Medicago polymorpha,749,4,0,0,0
Medicago polymorpha,749,5,0,0,0
Chorizanthe palmeri,751,1,0,0,0
Chorizanthe palmeri,751,2,2,0,0
Chorizanthe palmeri,751,3,0,0,0
Chorizanthe palmeri,751,4,0,0,0
Chorizanthe palmeri,751,5,0,0,0
Navarretia atractyloides,751,1,0,0,0
Navarretia atractyloides,751,2,0,0,0
Navarretia atractyloides,751,3,0,0,0
Navarretia atractyloides,751,4,1,0,0
Navarretia atractyloides,751,5,0,0,0
Navarretia atractyloides,752,1,0,0,0
Navarretia atractyloides,752,2,0,0,0
Navarretia atractyloides,752,3,0,0,0
Navarretia atractyloides,752,4,1,0,0
Navarretia atractyloides,752,5,1,1,1
Lactuca serriola,753,1,1,1,0
Lactuca serriola,753,2,1,0,1
Lactuca serriola,753,3,2,0,0
Lactuca serriola,753,4,0,0,0
Lactuca serriola,753,5,1,0,0
Festuca perennis,754,1,2,5,0
Festuca perennis,754,2,0,0,0
Festuca perennis,754,3,0,0,0
Festuca perennis,754,4,0,0,0
Festuca perennis,754,5,0,0,0
Chorizanthe palmeri,755,1,0,0,0
Chorizanthe palmeri,755,2,0,0,0
Chorizanthe palmeri,755,3,1,0,1
Chorizanthe palmeri,755,4,0,0,0
Chorizanthe palmeri,755,5,0,0,0
Lagophylla ramosissima,755,1,1,1,0
Lagophylla ramosissima,755,2,1,0,0
Lagophylla ramosissima,755,3,0,0,0
Lagophylla ramosissima,755,4,1,0,0
Lagophylla ramosissima,755,5,0,0,0
Navarretia atractyloides,755,1,0,0,0
Navarretia atractyloides,755,2,0,0,0
