species,USDA_symbol
ACMO,ACMO2
AGHE,AGHE2
AMSP,AMME
ANAR,ANAR
ANFI,ANFI3
ASGA,ASGA
ASGAM,ASGA
ASTER,UF
ASTGA,ASGA
ASTGAM,ASGA
AVBA,AVBA
AVFA,AVFA
BOIN,BOIN3
BRASSICA,BRNI
BRDI,BRDI3
BRHO,BRHO2
BRMA,BRMA3
CAAT,CAAT25
CALO,CASP
CALYST,CACO35
CALYSTEGIA,CACO35
CAME,CACI2
CAPY,CAPY2
CEME,CEME2
CERAR,STME2
CERARV,STME2
CHGL,CHGL
CHLPOM,CHPO3
CHORPA,CHPA8
CHPA,CHPA8
CHPO,CHPO3
CLBO,CLBO
CLPE,CLPE
CLPU,CLPU2
CRCO,CRCO34
CRSE,CRSE11
CRYPT,CRYPT
DICA,DICA14
ERCI,ERCI6
ERFA,ERFA2
ERIO,ERGR5
ERMO,ERMO7
EUSP,EUSP
FRIT,FRBI
GAAP,GAAP2
GALLIUM_SP,GAPO
GAME,CACI2
GEDI,GEDI
GERDIS,GEDI
GILIA,GIAC2
GIOC,GIOC
HAZ,HASQ2
HECO,HECO7
HOMU,HOMU
LACA,LACA7
LARA,LARA
LASE,LASE
LEBI,LEBI4
LESS,STCI
LESSINGIA,STCI
LIPA,LEPA51
LOAM,LOAM5
LOCAL,FICA2
LOGA,LOGA2
LOMAT,LODA
LOPE,LOPE
LOST,LOST4
LOWR,LOWR2
LUBI,LUBI
MEIN,MEIN2
MEPO,MEPO3
MICA,MICA
MICROSERIS2,MIEL
MIDO,MIDO
MIND,MIDO3
MINDI,MIDO3
MINDO,MIDO3
NAAT,NAAT
NAPU,STPU2
PER_FORB,UF
PER_GRASS,UG
PHAL,PHAU4
PHO_AUR,PHAU4
PLER,PLER3
POSE,POSE
POSEC,POSE
PRCL,DOCL
QUDO,QUDO
RACA,RACA2
RANCA,RACA2
RILE,RILE2
SACO,SACO6
SANICULA,SACR2
STAR,STME2
THYSLAC,THLA3
THYSLAS,THLA3
TOAR,TOAR
TRAL,TRAL5
TRIFSP,TRIFO
TRISP,TRIFO
TRLA,TRLA4
TRSP,TRSP
UNKNOWN_FORB,UF
unknown_grass,UG
UNKNOWN_GRASS,UG
unknown_hairy_grass,BRBE6
URLI,URLI5
VIPE,VIPE3
VUMI,FEMI2
VUMY,FEMY2
YAMI,YAMI
