"species"
"Achyrachaena mollis"
"Agoseris heterophylla"
"Amsinckia menziesii"
"Anagallis arvensis"
"Astragalus gambelianus"
"Avena barbata"
"Avena fatua"
"Bowlesia incana"
"Bromus diandrus"
"Bromus hordeaceus"
"Bromus madritensis"
"Calystegia collina"
"Carduus pycnocephalus"
"Castilleja attenuata"
"Centaurea melitensis"
"Chaenactis glabriuscula"
"Chlorogalum pomeridianum"
"Chorizanthe staticoides"
"Clarkia purpurea"
"Claytonia perfoliata"
"Coreopsis bigelovii"
"Croton setigerus"
"Dichelostemma capitatum"
"Dodecatheon hendersonii"
"Eriogonum elongatum "
"Erodium cicutarium"
"Erodium moschatum"
"Euphorbia spathulata"
"Fritillaria biflora"
"Galium aparine"
"Gilia ochroleuca"
"Hemizonia congesta"
"Hordeum murinum"
"Lactuca serriola"
"Lasthenia californica"
"Linanthus parviflorus"
"Lomatium sp."
"Lotus strigosus"
"Lotus wrangelianus"
"Lupinus bicolor"
"Medicago polymorpha"
"Micropus californicus"
"Microseris douglasii"
"Minuartia douglasii"
"Nassella pulchra"
"Navarretia mitracarpa"
"Plantago erecta"
"Poa secunda"
"Ranunculus californicus"
"Rigiopappus leptocladus"
"Stellaria media"
"Stephanomeria cichoriacea"
"Stylocline filaginea"
"Torilis arvensis"
"Trifolium albopurpureum"
"Uropappus lindleyi"
"Viola pedunculata"
"Vulpia microstachys"
"Vulpia myuros"
"Carduus pycnocephela"
"Lagophylla ramosissima"
"Lollium multiflorum"
