name,lat,lon,PRISM_tmax,PRISM_tmin,ppt_mm
741,34.73891001,-120.025966,22.91,10.25,628.94
742,34.73873299,-120.025905,22.91,10.25,628.94
743,34.73857599,-120.026285,22.91,10.25,628.94
744,34.73832403,-120.026687,22.91,10.25,628.94
745,34.73842897,-120.026778,22.91,10.25,628.94
746,34.73848798,-120.027191,22.91,10.25,628.94
747,34.73877104,-120.027204,22.91,10.25,628.94
748,34.73972398,-120.026392,22.91,10.25,628.94
749,34.73954796,-120.026177,22.91,10.25,628.94
750,34.73969498,-120.02522,22.91,10.25,628.94
751,34.73963203,-120.024898,22.91,10.25,628.94
752,34.73905301,-120.024731,22.91,10.25,628.94
753,34.73917002,-120.025252,22.91,10.25,628.94
754,34.73886601,-120.025257,22.91,10.25,628.94
755,34.73864498,-120.024957,22.91,10.25,628.94
756,34.718832,-120.042584,24.45,7.86,595.24
757,34.71817897,-120.044241,24.45,7.86,595.24
758,34.71515796,-120.050697,24.17,8.78,581.46
759,34.71251104,-120.048012,24.17,8.78,581.46
760,34.70318399,-120.037028,24.46,7.85,589.55
761,34.70362396,-120.037024,24.46,7.85,589.55
762,34.69736,-120.049628,24.46,7.85,589.55
763,34.69867696,-120.051568,24.65,7.96,582.37
