max_cover,total_plots
4.8,3
5.4,7
1.6,3
1,2
1,8
56,13
90,11
1.4,2
79,10
18,17
19.2,8
0.2,1
2.6,2
7.2,2
0.4,3
7,4
5.6,2
5.4,4
6.4,4
0.2,1
2.6,2
19,2
1.8,1
6.4,7
0.2,1
2.8,9
4.4,2
0.8,1
1.2,3
0.8,1
37.2,8
4.2,2
1.6,10
0.2,1
0.4,1
0.8,5
1,2
0.2,1
3,2
0.6,1
0.2,1
15.4,5
20,8
0.2,1
2.4,12
26.8,9
15.8,6
1,3
0.4,1
4.4,1
4.2,14
7.2,2
6.8,4
4.2,7
17.4,13
1.8,5
9.6,14
8.6,10
0.4,1
33,14
1.6,9
0.4,1
0.8,3
0.4,4
1.6,3
1.6,2
0.8,2
1,4
0.8,5
1,3
0.2,1
9.6,2
2.4,9
0.2,1
0.4,1
2,12
8.2,2
7.8,15
6.6,6
0.4,1
5.2,2
2,2
0.2,1
0.4,1
39,2
0.8,1
0.4,1
