"species","site","mx"
"Achyrachaena mollis",742,4
"Agoseris heterophylla",743,5
"Amsinckia",762,5
"Anagalis arvensis",762,3
"Ancistrocarphus filagineus",743,4
"astragalus gambelianus",752,5
"Avena barbata",742,5
"Avena barbata",744,5
"Avena barbata",745,5
"Avena barbata",746,5
"Avena barbata",747,5
"Avena barbata",748,5
"Avena barbata",750,5
"Avena barbata",751,5
"Avena barbata",755,5
"Avena fatua",740,5
"Avena fatua",741,5
"Avena fatua",749,5
"Avena fatua",753,5
"Avena fatua",754,5
"Avena fatua",761,5
"Avena fatua",762,5
"Bowlesia incana",759,4
"Bromus diandrus",753,5
"Bromus diandrus",754,5
"Bromus diandrus",757,5
"Bromus diandrus",758,5
"Bromus diandrus",759,5
"Bromus diandrus",761,5
"Bromus diandrus",762,5
"Bromus hordaceous",740,5
"Bromus hordaceous",741,5
"Bromus hordaceous",742,5
"Bromus hordaceous",746,5
"Bromus hordaceous",752,5
"Bromus hordaceous",756,5
"Bromus hordaceous",757,5
"Bromus hordaceous",761,5
"Bromus hordaceous",763,5
"Bromus madritensis",756,5
"Bromus madritensis",760,5
"Bromus madritensis",761,5
"Bromus madritensis",763,5
"Calandrinia",744,1
"Calystegia",747,3
"Carduus pycnocephalus",758,4
"Castilleja attenuata",743,2
"Castilleja attenuata",752,2
"Centaurea",760,5
"Centaurea",761,5
"Chaenactis",748,5
"Chlorogallum",745,5
"Chorizanthe",747,4
"Clarkia bottii",758,1
"Clarkia purpurea",756,5
"Claytonia perfoliata",758,5
"Claytonia perfoliata",759,5
"Croton setiger",762,5
"Cryptantha",751,1
"Dichelostema",745,5
"Dodecatheon hendersonii",756,5
"Elymus glaucus",758,1
"Eriogonum ",750,3
"Erodium cicutarium",756,5
"Erodium cicutarium",760,5
"Erodium cicutarium",761,5
"Erodium cicutarium",762,5
"Erodium cicutarium",763,5
"Erodium moschatum",762,5
"Euphorbia",740,5
"Euphorbia",741,5
"Euphorbia",742,5
"Euphorbia",746,5
"Filago californica",763,1
"Filago gallica",763,2
"Fritellaria",741,1
"Fritellaria",742,1
"Fritellaria",743,1
"Fritellaria",745,1
"Fritellaria",752,1
"Gallium aparine",759,5
"Geranium dissectum",761,1
"Gilia ocheracerous",748,5
"Gilia sp.",763,2
"Hazardia",745,1
"Hemizonia",740,5
"Hemizonia",741,5
"Hordeum",749,2
"Hordeum",753,2
"Hordeum",759,2
"Hypochaeris glabra",763,1
"Lactuca",740,5
"Lactuca",749,5
"Lasthenia",743,5
"Lasthenia",744,5
"Lasthenia",745,5
"Lasthenia",751,5
"Lasthenia",752,5
"Lasthenia",755,5
"Leptosiphon parviflorus",752,5
"Leptosiphon parviflorus",755,5
"Leptosyne",748,5
"Lessingia",755,2
"Lessingia",756,2
"Lomatium",755,2
"Lotus purshianus",763,2
"Lotus strigosus",748,5
"Lotus wrangelianus",741,5
"Lupinus bicolor",756,5
"Medicago polymorpha",760,5
"Micropus",743,5
"Microseris",743,5
"Microseris",744,5
"Microseris",745,5
"Microseris",756,5
"Milkweed",759,2
"Minuartia",743,2
"Minuartia",745,2
"Minuartia",751,2
"Nassella",746,5
"Nassella",750,5
"Nassella",751,5
"Navarretia",743,5
"Phacelia",752,1
"Plantago erecta",741,5
"Plantago erecta",742,5
"Plantago erecta",743,5
"Plantago erecta",744,5
"Plantago erecta",745,5
"Plantago erecta",747,5
"Plantago erecta",751,5
"Plantago erecta",752,5
"Plantago erecta",755,5
"Poa secunda",745,3
"Quercus douglasii",756,1
"Ranunculus",745,2
"Rigiopappus",743,2
"Rigiopappus",744,2
"Salvia",747,3
"Salvia spathecea",759,2
"Sanicula",756,1
"Sanicula",758,1
"Shrub buckwheat ",751,1
"Stellaria media",758,5
"Stellaria media",759,5
"Thysanocarpus curvipes",756,1
"Torrilis arvensis",758,5
"Torrilis arvensis",759,5
"Trifolium albopurpureum",756,5
"Unknown forb",761,1
"Uropappus",746,4
"Uropappus",752,4
"Viola pedunculata",759,5
"Vulpia microstachys",744,5
"Vulpia microstachys",745,5
"Vulpia microstachys",747,5
"Vulpia microstachys",751,5
"Vulpia microstachys",755,5
"Vulpia myuros",760,5
"Yabea",758,1
